,Name,Score_Control,Score_Treatment
559,Vaginal Cancer,1.17,1.17
560,Loeys-Dietz Syndrome 6,2.83,2.83
561,Xeroderma Pigmentosum Group G,1.03,1.03
562,Emery-Dreifuss Muscular Dystrophy,1.03,1.03
563,Adrenal Cortex Disease,2.0,1.0
564,"Hypocalciuric Hypercalcemia, Familial, Type Ii",1.31,1.31
565,Hereditary Sensory Neuropathy,1.06,1.06
566,Syndromic X-Linked Intellectual Disability Lubs Type,1.34,1.34
567,Ovary Transitional Cell Carcinoma,1.5,1.5
568,Scalp-Ear-Nipple Syndrome,1.29,1.29
569,"Fanconi Anemia, Complementation Group D1",1.24,1.24
570,Focal Segmental Glomerulosclerosis,4.47,0.86
571,"Renal Cell Carcinoma, Nonpapillary",1.32,0.88
572,West Syndrome,1.56,1.56
573,Intellectual Developmental Disorder With Short Stature And Variable Skeletal Anomalies,2.83,2.83
574,Parathyroid Adenoma,2.02,2.02
575,Fallopian Tube Adenofibroma,1.5,1.5
576,Interstitial Lung Disease 2,3.23,1.61
577,Estrogen-Receptor Negative Breast Cancer,3.36,1.12
578,Arteriosclerosis,1.84,0.92
579,"Xeroderma Pigmentosum, Complementation Group A",1.14,1.14
580,Testicular Disease,2.99,1.0
581,Renal Cysts And Diabetes Syndrome,1.08,1.08
582,"Renal Cell Carcinoma, Papillary, 1",0.45,1.35
583,Osteoarthritis,2.41,0.43
584,Meningioma,5.82,4.09
585,Ovary Adenocarcinoma,1.97,0.99
586,Primary Peritoneal Carcinoma,2.67,2.67
587,Inherited Cancer-Predisposing Syndrome,3.1,3.1
588,Alcoholic Hepatitis,6.57,1.14
589,Microcephaly,4.83,2.73
590,Familial Thoracic Aortic Aneurysm And Aortic Dissection,3.63,1.82
591,Fibrosarcoma,4.0,3.08
592,Pelger-Huet Anomaly,2.21,2.21
593,Colon Adenocarcinoma,5.59,1.83
594,Retinal Perforation,1.18,1.18
595,Breast Benign Neoplasm,1.1,1.1
596,Penile Disease,1.1,1.1
597,Papillary Adenocarcinoma,1.13,1.13
598,Intracranial Meningioma,1.21,1.21
599,Seckel Syndrome,2.64,1.76
600,Chlamydia,2.16,1.2
601,Cystadenocarcinoma,3.09,1.03
602,Breast Carcinoma In Situ,2.04,1.02
603,Pre-Malignant Neoplasm,3.0,1.0
604,Neural Tube Defects,1.58,1.42
605,Adenoma,3.09,1.03
606,Proteus Syndrome,1.12,1.12
607,Varicose Veins,2.09,1.04
608,Myotonic Dystrophy 1,1.7,0.8
609,Melanoma,3.72,0.79
610,Tetanus Neonatorum,1.27,1.27
611,Female Breast Cancer,2.18,1.09
612,Amyotrophic Lateral Sclerosis,7.79,2.81
613,Infant-Type Hemispheric Glioma,2.83,2.83
614,Diffuse Gastric Cancer,1.1,1.1
615,"Neuropathy, Congenital Hypomyelinating, 1, Autosomal Recessive",0.85,0.85
616,Parathyroid Gland Disease,1.05,1.05
617,Autosomal Recessive Cerebellar Ataxia,0.94,0.94
618,Greenberg Dysplasia,2.29,2.29
619,Chief Cell Adenoma,1.39,1.39
620,Paget'S Disease Of Bone,3.01,2.09
621,Bardet-Biedl Syndrome,1.57,2.36
622,"Lymphoma, Non-Hodgkin, Familial",4.76,0.79
623,Amyotrophic Lateral Sclerosis 20,2.52,2.52
624,Bladder Cancer,9.65,5.06
625,Breast Cancer,18.88,10.19
626,Urinary Tract Obstruction,2.03,1.02
627,Prostate Cancer,17.78,9.59
628,Spastic Quadriplegic Cerebral Palsy,1.02,1.02
