,Name,Combined Score
678,Breast Adenomyoepithelioma,1.42
679,Acute Cystitis,1.27
680,Chordoid Glioma,1.26
681,"Hemochromatosis, Type 1",0.88
682,Pre-Eclampsia,1.77
683,Long Qt Syndrome,0.83
684,Peripheral Vascular Disease,1.98
685,"Myeloma, Multiple",6.9
686,"Emery-Dreifuss Muscular Dystrophy 2, Autosomal Dominant",2.06
687,Rapadilino Syndrome,2.42
688,Breast Oncocytic Carcinoma,1.31
689,Hypertrophic Cardiomyopathy,3.71
690,Uterine Corpus Cancer,5.63
691,"Ciliary Dyskinesia, Primary, 51",5.66
692,Askin'S Tumor,1.27
693,Lowe Oculocerebrorenal Syndrome,4.27
694,Nondisjunction,1.26
695,Autonomic Nervous System Neoplasm,0.93
696,Head And Neck Cancer,1.7
697,"Fanconi Anemia, Complementation Group E",2.4
698,Keratitis,2.17
699,Supravalvular Aortic Stenosis,1.1
700,Hypophosphatemia,2.18
701,Aggressive Periodontitis,2.04
702,"Maturity-Onset Diabetes Of The Young, Type 3",1.03
703,Degeneration Of Macula And Posterior Pole,1.96
704,"Diabetes Insipidus, Nephrogenic, 2, Autosomal",1.39
705,Capillary Disease,1.1
706,Glycogen Storage Disease Ii,1.14
707,Hypertrophic Scars,4.5
708,Primary Cutaneous T-Cell Non-Hodgkin Lymphoma,1.02
709,Neuroblastoma,9.15
710,Sickle Cell Disease,2.77
711,Autoimmune Disease Of Exocrine System,1.05
712,Rheumatic Heart Disease,2.21
713,Restless Legs Syndrome,0.94
714,Autosomal Recessive Cutis Laxa Type Ii Classic Type,1.17
715,Tetraamelia Syndrome,2.32
716,Tick Infestation,2.3
717,Liddle Syndrome 1,1.05
718,"Congenital Heart Defects, Multiple Types, 8, With Or Without Heterotaxy",5.66
719,Tendinitis,1.14
720,Testicular Torsion,1.17
721,"Spastic Paraplegia 4, Autosomal Dominant",1.1
722,Dental Anomalies And Short Stature,1.08
723,Attention Deficit-Hyperactivity Disorder,3.95
724,Phacogenic Glaucoma,2.24
725,Respiratory Allergy,2.01
726,Craniosynostosis,2.71
727,Primary Ciliary Dyskinesia,1.52
728,Loeys-Dietz Syndrome 1,5.76
729,Developmental And Epileptic Encephalopathy,1.8
730,Chromosome 17q12 Deletion Syndrome,2.23
731,Neuroma,2.1
732,Amnestic Disorder,1.08
733,Spastic Hemiplegia,1.23
734,Medulloblastoma,8.559999999999999
735,Sarcoma,3.83
736,Brown-Vialetto-Van Laere Syndrome 2,1.19
737,Renovascular Hypertension,1.16
738,Ovary Epithelial Cancer,1.84
739,Muscle Tissue Disease,0.92
740,Hand-Foot-Genital Syndrome,1.11
741,Neuroendocrine Tumor,1.11
742,"2,4-Dienoyl-Coa Reductase Deficiency",3.0
743,Persistent Truncus Arteriosus,2.83
744,Hyperparathyroidism 1,5.66
745,Developmental And Epileptic Encephalopathy 75,2.46
746,Graves Disease,2.16
747,Syndromic X-Linked Intellectual Disability Cabezas Type,1.23
748,"Fibromatosis, Gingival, 1",1.43
749,Neurofibromatosis,1.92
750,Bone Structure Disease,1.96
751,"Trichorhinophalangeal Syndrome, Type Ii",1.05
752,Breast Adenoid Cystic Carcinoma,1.33
753,Immunodeficiency 14,1.12
754,Retinitis Pigmentosa 89,2.52
755,Lymphangioma,1.04
756,Cornelia De Lange Syndrome 1,1.09
757,Pick Disease Of Brain,1.03
758,Indolent Plasma Cell Myeloma,2.84
759,Pain Agnosia,1.0
760,"Ulna And Fibula, Absence Of, With Severe Limb Deficiency",1.15
761,Three M Syndrome 1,3.09
762,Neurodegeneration With Brain Iron Accumulation,3.62
763,Bowen'S Disease,1.5
764,Transitional Meningioma,1.31
765,Glycogen Storage Disease,1.84
766,"Atrial Septal Defect, Ostium Primum Type",5.66
767,Hard Palate Cancer,1.21
768,"Neutrophilic Dermatosis, Acute Febrile",1.11
769,"Hypophosphatemic Rickets, X-Linked Recessive",1.26
770,Lymphogranuloma Venereum,2.42
771,Immunodeficiency 72,2.72
772,Barrett Esophagus,1.99
773,Progeroid Syndrome,1.36
774,Pneumonia,1.98
775,Hemopericardium,1.29
776,"Maturity-Onset Diabetes Of The Young, Type 4",1.21
777,Hepatoblastoma,2.83
778,"Deafness, Autosomal Recessive 17",1.35
779,Fundus Dystrophy,4.890000000000001
780,Hypochondriasis,1.26
781,Dedifferentiated Liposarcoma,2.02
782,Uterine Hypoplasia,1.42
783,"Alzheimer Disease, Familial, 1",0.44
784,Oligoasthenoteratozoospermia,1.09
785,Bone Remodeling Disease,1.89
786,"Maturity-Onset Diabetes Of The Young, Type 2",1.21
787,Male Breast Cancer,2.58
788,Fibrosclerosis Of Breast,1.5
789,Congenital Anomalies Of Kidney And Urinary Tract 2,1.18
790,Laryngitis,2.42
791,Senior-Loken Syndrome 7,2.83
792,Inclusion Body Myopathy With Paget Disease Of Bone And Frontotemporal Dementia,7.0200000000000005
793,Paranasal Sinus Lymphoma,1.39
794,Osteomyelitis,1.06
795,Warburg Micro Syndrome 1,1.0
796,Hair Disease,0.99
797,Aorta Angiosarcoma,1.5
798,Kidney Hypertrophy,1.21
799,Occlusion Precerebral Artery,1.16
800,Upper Lip Cancer,1.5
801,"Chromosome 22q11.2 Deletion Syndrome, Distal",2.62
802,Gingival Fibromatosis,1.05
803,Metabolic Dysfunction-Associated Steatohepatitis,2.95
804,Brugada Syndrome 4,1.19
805,Aortic Disease,2.07
806,Type 1 Diabetes Mellitus 7,1.39
807,Xanthomatosis,1.15
808,Cowden Syndrome,4.62
809,Mitral Valve Insufficiency,2.04
810,Exfoliation Syndrome,1.1
811,Central Pterygium,1.5
812,"Isolated Growth Hormone Deficiency, Type Ib",1.16
813,"Thyroid Hormone Resistance, Generalized, Autosomal Recessive",2.83
814,Keratopathy,1.12
815,Telecanthus,2.62
816,Hereditary Breast Ovarian Cancer Syndrome,6.46
817,Autoimmune Disease Of Gastrointestinal Tract,1.9
818,Dextrocardia,3.37
819,Occipital Lobe Neoplasm,1.21
820,Elephantiasis,1.21
821,Prolactinoma,1.98
822,"Mitochondrial Complex V   Deficiency, Mitochondrial Type 1",0.99
823,Leukoencephalopathy With Vanishing White Matter,0.96
824,Diaphragm Disease,1.08
825,Acute Basophilic Leukemia,1.64
826,"Leukodystrophy, Demyelinating, Adult-Onset, Autosomal Dominant",2.38
827,Hypoglycemia,0.89
828,"Leukemia, Chronic Myeloid",5.6
829,Marfanoid-Progeroid-Lipodystrophy Syndrome,2.83
830,Angiosarcoma,1.06
831,"Xeroderma Pigmentosum, Variant Type",4.25
832,Digeorge Syndrome,4.84
833,"Ectopia Lentis 2, Isolated, Autosomal Recessive",1.39
834,Scrotum Neoplasm,2.78
835,Geleophysic Dysplasia 2,2.52
836,Fibrodysplasia Ossificans Progressiva,2.16
837,Acute Asthma,1.13
838,Parameningeal Embryonal Rhabdomyosarcoma,1.21
839,Chromophobe Renal Cell Carcinoma,0.78
840,Hereditary Ataxia,3.48
841,Rhabdoid Cancer,1.08
842,Pyriform Sinus Cancer,3.0
843,Adult Brainstem Astrocytoma,1.26
844,Cholesteatoma Of Middle Ear,1.06
845,Acth-Secreting Pituitary Adenoma,2.3
846,Common Peroneal Nerve Lesion,1.23
847,Hypersplenism,3.51
848,Perrault Syndrome 1,2.18
849,Fibrous Meningioma,1.26
850,Sclerosing Cholangitis,2.08
851,Asphyxiating Thoracic Dystrophy,4.14
852,Distal Arthrogryposis,2.43
853,Meninges Hemangiopericytoma,1.42
854,Cervix Carcinoma,1.85
855,Vestibular Nystagmus,1.36
856,Lung Disease,2.81
857,Leukocyte Disease,1.85
858,Ovarian Clear Cell Carcinoma,2.14
859,Cyclotropia,1.5
860,Dacryocystitis,1.29
861,Arteriovenous Malformation,0.97
862,Ehrlichiosis,1.14
863,Alopecia Areata,1.02
864,Vitreoretinopathy,1.18
865,Gastrointestinal System Cancer,0.88
866,Vaginal Benign Neoplasm,1.26
867,Corneal Dystrophy,2.84
868,"Cutis Laxa, Autosomal Recessive, Type Ic",1.24
869,Human Immunodeficiency Virus Type 1,4.83
870,"Arthrogryposis, Renal Dysfunction, And Cholestasis 1",2.0
871,Osteoporosis,7.870000000000001
872,Papillary Serous Adenocarcinoma,2.38
873,Retinitis Pigmentosa 46,1.24
874,Papillary Craniopharyngioma,2.48
875,Mantle Cell Lymphoma,0.89
876,Spinal Disease,1.93
877,Intermittent Claudication,1.14
878,Osteogenic Sarcoma,4.37
879,Kidney Hemangiopericytoma,1.42
880,"Hemangiopericytoma, Malignant",1.11
881,Carbuncle,1.21
882,Cardiovascular System Disease,0.82
883,Pneumothorax,1.08
884,Absolute Glaucoma,1.44
885,Ovarian Cystadenoma,2.46
886,Amyotrophic Neuralgia,1.21
887,Bilateral Breast Cancer,4.26
888,Testicular Lymphoma,1.23
889,Parasitic Helminthiasis Infectious Disease,2.02
890,Acanthosis Nigricans,1.28
891,Corneal Edema,2.24
892,"Meckel Syndrome, Type 1",1.7
893,Cervical Intraepithelial Neoplasia,2.92
894,Overgrowth Syndrome,2.31
895,Anogenital Venereal Wart,1.12
896,Measles,2.25
897,Eye Degenerative Disease,2.74
898,Werner Syndrome,4.66
899,Hypoplastic Left Heart Syndrome,0.96
900,Muir-Torre Syndrome,2.32
901,Scrotal Carcinoma,2.92
902,"Spinocerebellar Ataxia, Autosomal Recessive 23",1.29
903,"Hyperprolinemia, Type I",2.58
904,Pilomyxoid Astrocytoma,1.03
905,Periventricular Nodular Heterotopia,0.9
906,"Myopathy, Distal, With Anterior Tibial Onset",1.26
907,Autosomal Dominant Severe Congenital Neutropenia,1.03
908,"Gm1-Gangliosidosis, Type Iii",1.22
909,Neonatal Marfan Syndrome,2.83
910,"Severe Combined Immunodeficiency, X-Linked",1.07
911,"Spinal And Bulbar Muscular Atrophy, X-Linked 1",2.04
912,Lynch Syndrome 2,2.54
913,Pneumoconiosis,1.06
914,Crest Syndrome,1.21
915,Familial Glomangioma,1.42
916,Cholecystolithiasis,1.26
917,Endometrial Serous Adenocarcinoma,2.28
918,Intestinal Benign Neoplasm,0.99
919,"Cholangitis, Primary Sclerosing",1.84
920,Skull Base Cancer,1.24
921,Thymus Cancer,2.01
922,Cerebral Malaria,2.12
923,"Hyperlipoproteinemia, Type I",1.2
924,Homocystinuria,1.16
925,"Melanoma, Uveal",5.16
926,Withdrawal Disorder,1.12
927,Supraglottis Squamous Cell Carcinoma,1.5
928,Mesangial Proliferative Glomerulonephritis,1.17
929,Complex Regional Pain Syndrome,1.13
930,Kaposi Sarcoma,3.1
931,Sporadic Breast Cancer,2.2
932,Basal Cell Nevus Syndrome 1,2.86
933,Synchronous Bilateral Breast Carcinoma,3.68
934,Polycystic Kidney Disease,5.609999999999999
935,Asbestosis,1.15
936,Blue Cone Monochromacy,1.13
937,Toxoplasmosis,1.05
938,Inhibited Male Orgasm,1.26
939,Parathyroid Carcinoma,5.54
940,Squamous Cell Carcinoma,6.11
941,Adult Lymphoma,1.26
942,Hyperostosis,1.04
943,Paget Disease Of Bone 3,2.83
944,Breast Lymphoma,1.33
945,Dent Disease 2,2.83
946,Arthrogryposis Multiplex Congenita-4,1.5
947,Skeletal Muscle Cancer,0.99
948,Myoclonus Epilepsy,1.13
949,"Renal Dysplasia, Cystic",1.25
950,Microvascular Complications Of Diabetes 1,1.07
951,Childhood Meningioma,1.42
952,Endometrial Mixed Adenocarcinoma,1.39
953,Melon Allergy,1.23
954,Polycythemia Vera,1.98
955,Small Cell Cancer Of The Lung,1.98
956,Burkitt Lymphoma,3.73
957,Cancerophobia,3.0
958,Cerebroretinal Microangiopathy With Calcifications And Cysts 1,2.79
959,Lymphatic System Cancer,0.9
960,Schizophrenia,4.54
961,Demyelinating Disease,2.81
962,Thyroiditis,1.08
963,"Mesothelioma, Malignant",0.96
964,"Anemia, Sideroblastic, 1",1.05
965,Progesterone-Receptor Negative Breast Cancer,2.58
966,"Fanconi Anemia, Complementation Group S",5.66
967,Gingival Disease,2.13
968,Anterograde Amnesia,1.21
969,Pulmonary Valve Disease,2.3
970,Alcohol Dependence,0.86
971,Coronary Artery Anomaly,2.29
972,Orbit Embryonal Rhabdomyosarcoma,1.21
973,Hypoinsulinemic Hypoglycemia With Hemihypertrophy,1.46
974,Keratosis,1.04
975,Lymphoma,3.73
976,Microcytic Anemia With Liver Iron Overload,2.83
977,"Ceroid Lipofuscinosis, Neuronal, 6a",2.03
978,"Pneumothorax, Primary Spontaneous",1.29
979,Syndromic X-Linked Intellectual Disability Lubs Type,2.68
980,Dent Disease 1,2.04
981,Urethritis,1.17
982,Primary Microcephaly,0.92
983,"Fanconi Anemia, Complementation Group D1",2.48
984,Skull Base Meningioma,1.24
985,Combined Oxidative Phosphorylation Deficiency 22,1.5
986,Monophasic Synovial Sarcoma,1.29
987,Skin Carcinoma,3.72
988,Brain Meningioma,1.29
989,Glanders,1.27
990,Parasagittal Meningioma,1.42
991,Gracile Syndrome,1.2
992,Parathyroid Adenoma,4.04
993,Myositis Ossificans,1.27
994,Fallopian Tube Adenofibroma,3.0
995,Cole-Carpenter Syndrome,1.11
996,Spinal Meningioma,1.24
997,Microvascular Complications Of Diabetes 5,0.98
998,Arteriosclerosis,2.7600000000000002
999,Craniopharyngioma,2.04
1000,Plague,1.05
1001,"Renal Cell Carcinoma, Papillary, 1",1.8
1002,Meningioma,9.91
1003,Hypertensive Heart Disease,1.12
1004,Geleophysic Dysplasia 3,1.34
1005,"Mucopolysaccharidosis, Type Iva",1.02
1006,Renal Hypertension,1.1
1007,Myotonic Dystrophy 2,0.9
1008,Dysembryoplastic Neuroepithelial Tumor,1.18
1009,Cystadenocarcinoma,4.12
1010,Seckel Syndrome,4.4
1011,Urethral Syndrome,1.11
1012,Syndromic X-Linked Intellectual Disability,0.96
1013,Pre-Malignant Neoplasm,4.0
1014,Sphenoorbital Meningioma,1.46
1015,Visceral Leishmaniasis,1.98
1016,Paraganglioma And Gastric Stromal Sarcoma,1.1
1017,Calcinosis,1.06
1018,Idiopathic Scoliosis,1.31
1019,Diffuse Gastric Cancer,2.2
1020,Autosomal Recessive Cerebellar Ataxia,1.88
1021,"Lymphoma, Non-Hodgkin, Familial",5.55
1022,Greenberg Dysplasia,4.58
1023,Chief Cell Adenoma,2.78
1024,Bardet-Biedl Syndrome,3.9299999999999997
1025,Lung Adenoid Cystic Carcinoma,1.42
1026,Schnyder Corneal Dystrophy,1.19
1027,Amyotrophic Lateral Sclerosis 20,5.04
1028,Bladder Cancer,14.71
1029,Breast Cancer,29.07
1030,Weill-Marchesani Syndrome 1,2.83
1031,Breast Signet Ring Cell Adenocarcinoma,1.42
1032,Flying Phobia,1.21
1033,Dermatitis,1.8
1034,Plantar Fascial Fibromatosis,1.2
1035,Glioblastoma Mesenchymal Subtype,1.42
1036,Bone Marrow Failure Syndrome 6,2.83
1037,Granular Cell Tumor,1.22
1038,Anus Disease,1.05
1039,Fibrous Dysplasia,2.3
1040,"Hemochromatosis, Type 3",1.26
1041,Aortic Valve Disease 2,1.95
1042,Rett Syndrome,2.55
1043,Orofacial Cleft 4,1.5
1044,Cornelia De Lange Syndrome 4 With Or Without Midline Brain Defects,1.24
1045,Systemic Lupus Erythematosus,13.57
1046,Glomerulonephritis,3.07
1047,Epithelial-Stromal Tgfbi Dystrophy,2.12
1048,Keratosis Follicularis Spinulosa Decalvans,1.11
1049,Ureteral Lymphoma,1.27
1050,Adenosquamous Lung Carcinoma,1.36
1051,Transient Cerebral Ischemia,2.1
1052,Transitional Cell Carcinoma,3.09
1053,Familial Thoracic Aortic Aneurysm And Dissection,2.35
1054,Mixed Cell Type Cancer,2.14
1055,Congenital Nervous System Abnormality,6.39
1056,Neurooculocardiogenitourinary Syndrome,3.0
1057,Diastolic Heart Failure,1.15
1058,Coccidiosis,2.06
1059,Mature B-Cell Neoplasm,0.97
1060,Carotid Artery Occlusion,1.15
1061,Fuchs' Endothelial Dystrophy,1.88
1062,Orbital Disease,2.34
1063,"Vertical Talus, Congenital",2.24
1064,Wolfram Syndrome 2,1.1
1065,Craniorachischisis,1.5
1066,"Multiple Endocrine Neoplasia, Type I",4.65
1067,Ruijs-Aalfs Syndrome,1.23
1068,Alport Syndrome,1.89
1069,Acute Leukemia,2.05
1070,Welander Distal Myopathy,2.67
1071,Wilson Disease,3.09
1072,Brain Glioma,0.99
1073,Conjunctivitis,1.05
1074,Atrophic Glossitis,1.29
1075,Hemangioma,2.88
1076,"Spastic Paraplegia 50, Autosomal Recessive",1.11
1077,"Osteogenesis Imperfecta, Type Iii",2.89
1078,Atrial Fibrillation,1.07
1079,Polymicrogyria,2.65
1080,Fallopian Tube Adenocarcinoma,2.78
1081,Megalencephaly-Capillary Malformation-Polymicrogyria Syndrome,2.79
1082,Alopecia,1.0
1083,Bronchial Disease,1.87
1084,Respiratory System Benign Neoplasm,1.08
1085,Galloway-Mowat Syndrome,1.78
1086,Mixed Connective Tissue Disease,1.13
1087,Nose Disease,1.99
1088,Acromicric Dysplasia,3.36
1089,Rhinitis,2.0
1090,Breast Myoepithelial Neoplasm,1.42
1091,"Amelogenesis Imperfecta, Type Ig",2.92
1092,Autoimmune Disease Of Musculoskeletal System,2.75
1093,Choriocarcinoma,1.13
1094,Polycystic Kidney Disease 3 With Or Without Polycystic Liver Disease,2.65
1095,Bone Resorption Disease,0.96
1096,Granuloma Inguinale,2.42
1097,Williams-Beuren Region Duplication Syndrome,1.22
1098,Tricuspid Valve Prolapse,1.29
1099,"Erythrocytosis, Familial, 2",1.12
1100,Kashin-Beck Disease,1.42
1101,Bacterial Infectious Disease,2.77
1102,Bronchiectasis,3.9
1103,Cystic Kidney Disease,2.61
1104,Rhizomelic Skeletal Dysplasia With Or Without Pelger-Huet Anomaly,5.66
1105,Colonic Benign Neoplasm,3.57
1106,Vitiligo-Associated Multiple Autoimmune Disease Susceptibility 1,1.04
1107,Perrault Syndrome,0.94
1108,Amelogenesis Imperfecta,6.84
1109,Pelvic Varices,1.06
1110,Lynch Syndrome,3.5999999999999996
1111,Anaplastic Astrocytoma,1.92
1112,Gastric Cancer,18.59
1113,"46,Xy Complete Gonadal Dysgenesis",2.31
1114,Von Hippel-Lindau Syndrome,0.96
1115,Coffin-Siris Syndrome 11,3.0
1116,Gout,2.02
1117,Glycogen Storage Disease Iv,1.07
1118,High-Grade B-Cell Lymphoma Double-Hit/Triple-Hit,1.59
1119,Axonal Neuropathy,2.96
1120,Pelvic Lipomatosis,2.92
1121,Primary Biliary Cholangitis,4.18
1122,Vaginal Disease,1.07
1123,Smith-Lemli-Opitz Syndrome,3.1399999999999997
1124,Neurofibroma,1.07
1125,Myeloid And Lymphoid Neoplasms Associated With Fgfr1 Abnormalities,1.29
1126,Sella Turcica Neoplasm,2.84
1127,Hypermobile Ehlers-Danlos Syndrome,2.13
1128,Thymus Lipoma,1.39
1129,Melanoma In Congenital Melanocytic Nevus,1.1
1130,Retroperitoneal Neuroblastoma,1.46
1131,"Hemochromatosis, Type 4",1.26
1132,Atrial Septal Defect 5,2.38
1133,Rare Autosomal Dominant Non-Syndromic Sensorineural Deafness Type Dfna,3.5
1134,Nervous System Disease,11.55
1135,"Maturity-Onset Diabetes Of The Young, Type 11",1.28
1136,Lenz-Majewski Hyperostotic Dwarfism,1.23
1137,Loeys-Dietz Syndrome 5,4.17
1138,Autosomal Dominant Nonsyndromic Deafness 77,1.42
1139,Coats Disease,1.03
1140,Myocardial Infarction,3.88
1141,Benign Meningioma,4.68
1142,Silicosis,3.26
1143,Nutritional Deficiency Disease,1.02
1144,Synovium Cancer,1.05
1145,Tongue Disease,0.94
1146,Alveolar Echinococcosis,1.2
1147,Cervical Adenoid Cystic Carcinoma,2.58
1148,Interstitial Cystitis,1.12
1149,Primary Autosomal Recessive Microcephaly,4.14
1150,Cerebral Amyloid Angiopathy,1.05
1151,Atypical Coarctation Of Aorta,2.79
1152,Retinal Ischemia,2.18
1153,Pneumonic Tularemia,1.26
1154,"Peripheral Neuropathy With Variable Spasticity, Exercise Intolerance, And Developmental Delay",1.23
1155,"Erythrocytosis, Familial, 1",1.14
1156,Bone Development Disease,1.9
1157,Cauda Equina Neoplasm,1.27
1158,Aging,1.19
1159,Renal Fibrosis,4.09
1160,Legionnaire Disease,1.09
1161,Meningitis,1.98
1162,Anxiety,2.58
1163,Alzheimer Disease 15,1.39
1164,Common Variable Immunodeficiency,2.63
1165,Lens Subluxation,2.15
1166,Aspergillosis,1.11
1167,Idh-Wildtype Glioblastoma,1.17
1168,"Cardiomyopathy, Dilated, 1h",1.96
1169,Localized Scleroderma,2.27
1170,Chromosome 15q24 Deletion Syndrome,1.29
1171,Vesicoureteral Reflux,0.94
1172,Pulmonary Tuberculosis,3.67
1173,"Diaphragmatic Hernia, Congenital",4.33
1174,Bile Duct Cancer,1.9
1175,Pulmonary Valve Insufficiency,1.19
1176,Protrusio Acetabuli,2.83
1177,"Ceroid Lipofuscinosis, Neuronal, 10",1.06
1178,Idiopathic Interstitial Pneumonia,1.1
1179,Chronic Interstitial Cystitis,1.7
1180,Acetyl-Coa Carboxylase-Alpha Deficiency,2.83
1181,Clear Cell Adenoma,2.92
1182,"Charcot-Marie-Tooth Disease, Type 4k",1.26
1183,Trigeminal Nerve Disease,1.13
1184,Osteitis Fibrosa,2.58
1185,Cerebral Meningioma,1.33
1186,Loeys-Dietz Syndrome,6.22
1187,Pancreatic Ductal Carcinoma,1.08
1188,Embryonal Carcinoma,3.33
1189,Familial Mediterranean Fever,1.02
1190,Trichinosis,1.23
1191,Wiskott-Aldrich Syndrome,6.64
1192,Focal Hand Dystonia,1.29
1193,Juvenile Myelomonocytic Leukemia,0.92
1194,Rectum Adenocarcinoma,1.0
1195,Pectus Excavatum,2.18
1196,Diffuse Large B-Cell Lymphoma,4.69
1197,Urinary System Disease,0.89
1198,"Breast-Ovarian Cancer, Familial 2",5.66
1199,Shwartzman Phenomenon,1.33
1200,Ogden Syndrome,1.13
1201,Intravascular Large B-Cell Lymphoma,2.33
1202,Hydrocephalus,2.66
1203,"Spinocerebellar Ataxia, Autosomal Recessive, With Axonal Neuropathy 1",3.6100000000000003
1204,Hyperthyroxinemia,1.35
1205,Loiasis,1.31
1206,Chromosome 15q11.2 Deletion Syndrome,1.15
1207,Otosclerosis,2.0700000000000003
1208,Myelodysplastic Syndrome,4.96
1209,"Thyroid Carcinoma, Familial Medullary",1.1
1210,Chordoid Meningioma,1.31
1211,Leiomyoma,2.18
1212,Isolated Polycystic Liver Disease,2.06
1213,Lymphangioleiomyomatosis,1.19
1214,Dental Pulp Necrosis,2.4
1215,Autoimmune Disease Of Endocrine System,0.97
1216,Bone Disease,0.89
1217,Uveitis,1.02
1218,Premature Ovarian Failure 1,1.9
1219,Orthostatic Intolerance,4.64
1220,Coffin-Lowry Syndrome,2.34
1221,Cystic Fibrosis,11.34
1222,Hypomelanosis Of Ito,3.7699999999999996
1223,Familial Cold Autoinflammatory Syndrome 3,1.39
1224,Patau Syndrome,1.1
1225,Typhoid Fever,1.08
1226,Parathyroid Oncocytic Adenoma,2.66
1227,Spinal Canal And Spinal Cord Meningioma,1.24
1228,Toxic Shock Syndrome,1.09
1229,Retinal Vascular Occlusion,1.11
1230,Retinal Detachment,4.8100000000000005
1231,Aortic Aneurysm,5.41
1232,Relapsed/Refractory Diffuse Large B-Cell Lymphoma,1.24
1233,Alpha-Thalassemia,0.89
1234,Hydronephrosis,0.96
1235,Heart Lymphoma,1.24
1236,Blood Platelet Disease,1.75
1237,Chromosome 22q11.2 Duplication Syndrome,2.3
1238,Hirschsprung Disease 1,1.64
1239,Teratocarcinoma,3.49
1240,Diffuse Scleroderma,2.4
1241,Pituitary Adenoma,1.03
1242,Immunodeficiency 49,2.38
1243,Gastric Ulcer,1.29
1244,Steroid-Induced Glaucoma,1.21
1245,Double Outlet Right Ventricle,1.88
1246,Epidermolysis Bullosa Dystrophica,2.14
1247,Melnick-Needles Syndrome,1.15
1248,Langerhans Cell Histiocytosis,1.04
1249,"Deafness, Autosomal Recessive 84a",1.28
1250,"Spastic Paraplegia 52, Autosomal Recessive",1.46
1251,Hyperglycemia,1.03
1252,Lymphoid Interstitial Pneumonia,0.99
1253,Anencephaly,1.01
1254,Multiple Mitochondrial Dysfunctions Syndrome 5,1.28
1255,Huntington Disease,7.76
1256,Splenic Disease,2.09
1257,Teeth Hard Tissue Disease,1.99
1258,Tsh Producing Pituitary Tumor,1.29
1259,Intrinsic Cardiomyopathy,0.9
1260,Behcet Syndrome,4.88
1261,Extranodal Marginal Zone Lymphoma Of Mucosa-Associated Lymphoid Tissue,1.1
1262,"Chromosome 17p13.3, Centromeric, Duplication Syndrome",1.16
1263,Thrombocytopenia,3.14
1264,Exposure Keratitis,1.27
1265,Hemophilia B,1.07
1266,Wilson-Turner Syndrome,0.99
1267,Salmonellosis,1.14
1268,Autoimmune Disease Of Urogenital Tract,1.14
1269,Allergic Asthma,1.13
1270,Leukocoria,1.24
1271,Malignant Ovarian Surface Epithelial-Stromal Neoplasm,2.8499999999999996
1272,Aortic Valve Disease 1,4.279999999999999
1273,Tethered Spinal Cord Syndrome,1.18
1274,Spondyloarthropathy 1,1.02
1275,Sclerosing Hepatic Carcinoma,1.2
1276,Pertussis,1.19
1277,Lattice Corneal Dystrophy,3.21
1278,Epicondylitis,1.26
1279,Brooke-Spiegler Syndrome,1.08
1280,Bone Inflammation Disease,1.83
1281,Resistance To Thyroid Hormone Due To A Mutation In Thyroid Hormone Receptor Beta,2.83
1282,Inguinal Hernia,4.59
1283,Peters-Plus Syndrome,0.93
1284,Orbital Cancer,1.26
1285,Tricuspid Atresia,1.19
1286,Intellectual Developmental Disorder With Impaired Language And Dysmorphic Facies,2.83
1287,Isolated Exencephaly,2.67
1288,Salpingitis,1.2
1289,Dengue Disease,8.58
1290,Melioidosis,1.59
1291,Iris Disease,1.06
1292,Cutaneous Diphtheria,3.0
1293,Autosomal Recessive Congenital Ichthyosis,0.89
1294,Diastrophic Dysplasia,1.18
1295,Myofibrillar Myopathy,0.93
1296,"Cerebellar Ataxia, Deafness, And Narcolepsy, Autosomal Dominant",1.23
1297,Cone-Rod Dystrophy 5,1.29
1298,Hepatopulmonary Syndrome,1.19
1299,Autosomal Dominant Intellectual Developmental Disorder 13,2.58
1300,Tracheal Stenosis,2.43
1301,Permanent Neonatal Diabetes Mellitus,2.04
1302,"Microcephaly 17, Primary, Autosomal Recessive",2.41
1303,Autosomal Dominant Cutis Laxa,1.1
1304,Congenital Anomalies Of Kidney And Urinary Tract 1,3.5300000000000002
1305,"Bartter Syndrome, Type 1, Antenatal",1.14
1306,Hypothyroidism,2.69
1307,Preterm Premature Rupture Of The Membranes,1.05
1308,Mucositis,2.1
1309,Spinocerebellar Ataxia 2,1.13
1310,Duodenal Ulcer,1.12
1311,Thoracic Benign Neoplasm,2.2
1312,Salivary Gland Adenoid Cystic Carcinoma,2.3
1313,"Ehlers-Danlos Syndrome, Vascular Type",1.26
1314,Anterior Cranial Fossa Meningioma,1.33
1315,Noonan Syndrome 1,0.82
1316,Nijmegen Breakage Syndrome,2.16
1317,Adenocarcinoma,7.76
1318,Autosomal Dominant Polycystic Kidney Disease,4.14
1319,Autosomal Recessive Cutis Laxa Type I,1.18
1320,Strabismus,0.93
1321,"Vitreoretinopathy, Neovascular Inflammatory",3.31
1322,Nontoxic Goiter,1.32
1323,Colorectal Adenocarcinoma,1.98
1324,Chromosome 2q37 Deletion Syndrome,1.19
1325,Obstructive Nephropathy,3.43
1326,Acantholytic Acanthoma,1.23
1327,Rhabdomyosarcoma 2,0.95
1328,Peripheral T-Cell Lymphoma,1.0
1329,Neurilemmoma,1.06
1330,Systemic Mastocytosis,1.13
1331,Tongue Squamous Cell Carcinoma,0.44
1332,Appendix Lymphoma,1.21
1333,Branchiooculofacial Syndrome,2.08
